IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
59.53.146.120,18-01-22 05:00,0.214,江西南昌,HTTPS,808
61.154.90.126,18-01-22 04:58,0.38,福建泉州,HTTPS,808
117.36.103.170,18-01-22 04:46,0.11,陕西西安,HTTPS,8118
49.85.7.48,18-01-22 04:33,0.464,江苏泰州,HTTPS,48299
115.58.130.164,18-01-22 04:32,0.389,河南信阳,HTTPS,8118
49.85.1.168,18-01-21 22:22,0.224,江苏泰州,HTTPS,49445
111.195.245.83,18-01-21 22:22,1.291,北京,HTTPS,8123
60.162.23.160,18-01-21 22:16,5.086,浙江台州,HTTP,35836
121.31.196.137,18-01-21 22:16,5.692,广西桂林,HTTP,8123
182.88.164.9,18-01-21 22:15,0.309,广西南宁,HTTPS,8123
120.9.86.1,18-01-21 22:11,0.112,河北邯郸,HTTPS,8118
59.53.144.170,18-01-22 04:24,0.441,江西南昌,HTTP,808
117.86.165.73,18-01-22 04:22,0.156,江苏南通,HTTPS,44534
120.15.156.56,18-01-21 22:11,0.156,河北衡水,HTTPS,8118
123.101.110.151,18-01-21 22:11,0.14,河南郑州,HTTPS,34520
180.102.181.16,18-01-21 22:11,0.178,江苏苏州,HTTPS,23672
125.126.163.49,18-01-21 22:11,0.154,浙江台州,HTTPS,32642
110.72.22.227,18-01-21 22:11,0.248,广西贵港,HTTPS,8123
119.162.211.247,18-01-21 22:00,0.106,山东济南,HTTPS,8118
182.108.5.169,18-01-22 04:21,3.703,江西,HTTPS,808
124.237.130.23,18-01-22 04:06,0.137,河北保定,HTTPS,9999
125.45.114.197,18-01-22 04:05,0.106,河南南阳,HTTPS,8118
223.241.116.195,18-01-22 04:00,5.981,安徽,HTTP,8010
119.163.140.53,18-01-22 03:51,3.082,山东济南,HTTPS,8118
123.185.131.93,18-01-21 21:56,0.109,辽宁大连,HTTPS,8118
171.13.2.191,18-01-21 21:55,1.464,河南,HTTPS,47409
183.148.77.98,18-01-21 21:55,1.531,浙江台州,HTTPS,34897
110.86.136.67,18-01-21 21:55,2.56,福建宁德,HTTPS,30675
110.72.38.161,18-01-21 21:55,2.164,广西贵港,HTTPS,8123
122.143.156.101,18-01-21 21:46,0.137,吉林四平,HTTP,80
118.120.185.171,18-01-21 21:45,0.754,四川,HTTP,22439
223.241.78.113,18-01-22 03:45,2.829,安徽芜湖,HTTP,8010
223.241.118.243,18-01-22 03:45,6.091,安徽,HTTPS,8010
119.7.77.139,18-01-22 03:30,0.475,四川德阳,HTTP,8118
